Code,Name,Country,Exchange,Currency,Type,ISIN
BWA,BorgWarner Inc.,US,NYSE,USD,Common Stock,
BXMT,Blackstone Mortgage Trust Inc.,US,NYSE,USD,Common Stock,
CABO,Cable One,US,NYSE,USD,Common Stock,
CAKE,The Cheesecake Factory Inc.,US,NASDAQ,USD,Common Stock,
CAL,Caleres Inc.,US,NYSE,USD,Common Stock,
CALM,Cal-Maine Foods Inc.,US,NASDAQ,USD,Common Stock,
CALX,Calix Inc.,US,NYSE,USD,Common Stock,
CARG,CarGurus Inc.,US,NASDAQ,USD,Common Stock,
CARS,Cars.com Inc.,US,NYSE,USD,Common Stock,
CASH,Pathward Financial Inc.,US,NASDAQ,USD,Common Stock,
CATY,Cathay General Bancorp,US,NASDAQ,USD,Common Stock,
CBRL,Cracker Barrel Old Country Store Inc.,US,NASDAQ,USD,Common Stock,
CBU,Community Bank System Inc.,US,NYSE,USD,Common Stock,
CC,Chemours Co.,US,NYSE,USD,Common Stock,
CCOI,Cogent Communications Holdings Inc.,US,NASDAQ,USD,Common Stock,
CCS,Century Communities Inc.,US,NYSE,USD,Common Stock,
CE,Celanese Corp.,US,NYSE,USD,Common Stock,
CENT,Central Garden & Pet Company,US,NASDAQ,USD,Common Stock,
CENTA,Central Garden & Pet Company Class A,US,NASDAQ,USD,Common Stock,
CENX,Century Aluminum Company,US,NASDAQ,USD,Common Stock,
CERT,Certara Inc.,US,NASDAQ,USD,Common Stock,
CEVA,CEVA Inc.,US,NASDAQ,USD,Common Stock,
CFFN,Capitol Federal Savings Bank,US,NASDAQ,USD,Common Stock,
CHCO,City Holding Company,US,NASDAQ,USD,Common Stock,
CHEF,The Chefs’ Warehouse Inc.,US,NASDAQ,USD,Common Stock,
CLB,Core Laboratories N.V.,Netherlands,NYSE,USD,Common Stock,NL0000208479
CLSK,CleanSpark Inc.,US,NASDAQ,USD,Common Stock,
CNK,Cinemark Holdings Inc.,US,NYSE,USD,Common Stock,
CNMD,CONMED Corporation,US,NASDAQ,USD,Common Stock,
CNR,Core Natural Resources Inc.,US,NYSE,USD,Common Stock,
CNS,Cohen & Steers Inc.,US,NYSE,USD,Common Stock,
CNXN,PC Connection Inc.,US,NASDAQ,USD,Common Stock,
COHU,Cohu Inc.,US,NASDAQ,USD,Common Stock,
COLL,Collegium Pharmaceutical Inc.,US,NASDAQ,USD,Common Stock,
CON,Concentra Group Holdings Parent Inc.,US,NYSE,USD,Common Stock,
COOP,Mr. Cooper Group Inc.,US,NASDAQ,USD,Common Stock,
CORT,Corcept Therapeutics Inc.,US,NASDAQ,USD,Common Stock,
CPF,Central Pacific Financial Corp.,US,NASDAQ,USD,Common Stock,
CPK,Chesapeake Utilities Corp.,US,NYSE,USD,Common Stock,
CPRX,Catalyst Pharmaceuticals Inc.,US,NASDAQ,USD,Common Stock,
CRC,California Resources Corporation,US,NYSE,USD,Common Stock,
CRGY,Crescent Energy Company,US,NYSE,USD,Common Stock,
CRI,Carter’s Inc.,US,NYSE,USD,Common Stock,
CRK,Comstock Resources Inc.,US,NASDAQ,USD,Common Stock,
CRSR,Corsair Gaming Inc.,US,NASDAQ,USD,Common Stock,
CRVL,CorVel Corporation,US,NASDAQ,USD,Common Stock,
CSGS,CSG Systems International Inc.,US,NASDAQ,USD,Common Stock,
CSR,Centerspace,US,NYSE,USD,Common Stock,
CSW,CSW Industrials Inc.,US,NASDAQ,USD,Common Stock,
CTKB,Cytek Biosciences Inc.,US,NASDAQ,USD,Common Stock,
CTRE,CareTrust REIT Inc.,US,NASDAQ,USD,Common Stock,
CTS,CTS Corporation,US,NYSE,USD,Common Stock,
CUBI,Customers Bancorp Inc.,US,NYSE,USD,Common Stock,
CURB,Curbline Properties Corp.,US,NASDAQ,USD,Common Stock,
CVBF,CVB Financial Corp.,US,NASDAQ,USD,Common Stock,
CVCO,Cavco Industries Inc.,US,NASDAQ,USD,Common Stock,
CVI,CVR Energy Inc.,US,NYSE,USD,Common Stock,
CWEN,Clearway Energy Inc. Class C,US,NYSE,USD,Common Stock,
CWEN.A,Clearway Energy Inc. Class A,US,NYSE,USD,Common Stock,
CWK,Cushman & Wakefield plc,UK,NYSE,USD,Common Stock,GB00BFZ4N465
CWT,California Water Service Group,US,NYSE,USD,Common Stock,
CXM,Sprinklr Inc.,US,NYSE,USD,Common Stock,
CXW,CoreCivic,US,NYSE,USD,Common Stock,
DAN,Dana Incorporated,US,NYSE,USD,Common Stock,
DCOM,Dime Community Bancshares Inc.,US,NASDAQ,USD,Common Stock,
DEA,Easterly Government Properties Inc.,US,NYSE,USD,Common Stock,
DEI,Douglas Emmett,US,NYSE,USD,Common Stock,
DFH,Dream Finders Homes Inc.,US,NYSE,USD,Common Stock,
DFIN,Donnelley Financial Solutions Inc.,US,NYSE,USD,Common Stock,
DGII,Digi International Inc.,US,NASDAQ,USD,Common Stock,
DIOD,Diodes Incorporated,US,NASDAQ,USD,Common Stock,
DLX,Deluxe Corporation,US,NYSE,USD,Common Stock,
DNOW,NOW Inc,US,NYSE,USD,Common Stock,
DOCN,DigitalOcean Holdings Inc.,US,NYSE,USD,Common Stock,
DORM,Dorman Products Inc.,US,NASDAQ,USD,Common Stock,
DRH,DiamondRock Hospitality Company,US,NYSE,USD,Common Stock,
DV,DoubleVerify Holdings Inc.,US,NYSE,USD,Common Stock,
DVAX,Dynavax Technologies Corp.,US,NASDAQ,USD,Common Stock,
DXC,DXC Technology,US,NYSE,USD,Common Stock,
DXPE,DXP Enterprises Inc.,US,NASDAQ,USD,Common Stock,
DY,Dycom Industries Inc.,US,NYSE,USD,Common Stock,
EAT,Brinker International Inc.,US,NYSE,USD,Common Stock,
ECG,Everus Construction Group Inc.,US,NYSE,USD,Common Stock,
ECPG,Encore Capital Group Inc.,US,NASDAQ,USD,Common Stock,
EFC,Ellington Financial Inc.,US,NYSE,USD,Common Stock,
EGBN,Eagle Bancorp Inc.,US,NASDAQ,USD,Common Stock,
EIG,Employers Holdings Inc.,US,NYSE,USD,Common Stock,
ELME,Elme Communities,US,NYSE,USD,Common Stock,
EMBC,Embecta Corp.,US,NASDAQ,USD,Common Stock,
ENOV,Enovis Corp.,US,NYSE,USD,Common Stock,
ENR,Energizer Holdings Inc.,US,NYSE,USD,Common Stock,
ENVA,Enova International Inc.,US,NYSE,USD,Common Stock,
EPAC,Enerpac Tool Group Corp.,US,NYSE,USD,Common Stock,
EPC,Edgewell Personal Care Co.,US,NYSE,USD,Common Stock,
EPRT,Essential Properties Realty Trust Inc.,US,NYSE,USD,Common Stock,
ESE,ESCO Technologies Inc.,US,NYSE,USD,Common Stock,
ESI,Element Solutions Inc,US,NYSE,USD,Common Stock,
ETD,Ethan Allen Interiors Inc.,US,NYSE,USD,Common Stock,
ETSY,Etsy Inc.,US,NASDAQ,USD,Common Stock,
EVTC,EVERTEC Inc.,US,NYSE,USD,Common Stock,
EXPI,eXp World Holdings Inc.,US,NASDAQ,USD,Common Stock,
EXTR,Extreme Networks Inc.,US,NASDAQ,USD,Common Stock,
EYE,National Vision Holdings Inc.,US,NASDAQ,USD,Common Stock,
EZPW,EZCORP Inc.,US,NASDAQ,USD,Common Stock,
FBK,FB Financial Corp.,US,NYSE,USD,Common Stock,
FBNC,First Bancorp (Southern Pines,NC),US,NASDAQ,USD,Common Stock,
FBP,First BanCorp (Puerto Rico),US,NYSE,USD,Common Stock,
FBRT,Franklin BSP Realty Trust Inc.,US,NYSE,USD,Common Stock,
FCF,First Commonwealth Financial Corp.,US,NYSE,USD,Common Stock,
FCPT,Four Corners Property Trust Inc.,US,NYSE,USD,Common Stock,
FDP,Fresh Del Monte Produce Inc.,US,NYSE,USD,Common Stock,
FELE,Franklin Electric Co. Inc.,US,NASDAQ,USD,Common Stock,
FFBC,First Financial Bancorp.,US,NASDAQ,USD,Common Stock,
FHB,First Hawaiian Inc.,US,NASDAQ,USD,Common Stock,
FIZZ,National Beverage Corp.,US,NASDAQ,USD,Common Stock,
FL,Foot Locker Inc.,US,NYSE,USD,Common Stock,
FMC,FMC Corporation,US,NYSE,USD,Common Stock,
FORM,FormFactor Inc.,US,NASDAQ,USD,Common Stock,
FOXF,Fox Factory Holding Corp.,US,NASDAQ,USD,Common Stock,
FRPT,Freshpet Inc.,US,NASDAQ,USD,Common Stock,
FSS,Federal Signal Corporation,US,NYSE,USD,Common Stock,
FTDR,Frontdoor Inc.,US,NASDAQ,USD,Common Stock,
FTRE,Fortrea Holdings Inc.,US,NASDAQ,USD,Common Stock,
FUL,H.B. Fuller Company,US,NYSE,USD,Common Stock,
FULT,Fulton Financial Corporation,US,NASDAQ,USD,Common Stock,
FUN,Six Flags Entertainment Corp.,US,NYSE,USD,Common Stock,
FWRD,Forward Air Corporation,US,NASDAQ,USD,Common Stock,
GBX,The Greenbrier Companies Inc.,US,NYSE,USD,Common Stock,
GDEN,Golden Entertainment Inc.,US,NASDAQ,USD,Common Stock,
GDYN,Grid Dynamics Holdings Inc.,US,NASDAQ,USD,Common Stock,
GEO,The GEO Group Inc.,US,NYSE,USD,Common Stock,
GES,Guess? Inc.,US,NYSE,USD,Common Stock,
GFF,Griffon Corporation,US,NYSE,USD,Common Stock,
GIII,G-III Apparel Group Ltd.,US,NASDAQ,USD,Common Stock,
GKOS,Glaukos Corporation,US,NYSE,USD,Common Stock,
GMS,GMS Inc.,US,NYSE,USD,Common Stock,
GNL,Global Net Lease Inc.,US,NYSE,USD,Common Stock,
GNW,Genworth Financial Inc.,US,NYSE,USD,Common Stock,
GO,Grocery Outlet Holding Corp.,US,NASDAQ,USD,Common Stock,
GOGO,Gogo Inc.,US,NASDAQ,USD,Common Stock,
GOLF,Acushnet Holdings Corp.,US,NYSE,USD,Common Stock,
GPI,Group 1 Automotive Inc.,US,NYSE,USD,Common Stock,
GRBK,Green Brick Partners Inc.,US,NYSE,USD,Common Stock,
GSHD,Goosehead Insurance Inc.,US,NASDAQ,USD,Common Stock,
GTES,Gates Industrial Corp. plc,US,NYSE,USD,Common Stock,
GTY,Getty Realty Corp.,US,NYSE,USD,Common Stock,
GVA,Granite Construction Inc.,US,NYSE,USD,Common Stock,
HAFC,Hanmi Financial Corporation,US,NASDAQ,USD,Common Stock,
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc.,US,NYSE,USD,Common Stock,
HAYW,Hayward Holdings Inc.,US,NYSE,USD,Common Stock,
HBI,Hanesbrands Inc.,US,NYSE,USD,Common Stock,
HCC,Warrior Met Coal Inc.,US,NYSE,USD,Common Stock,
HCI,HCI Group Inc.,US,NYSE,USD,Common Stock,
HCSG,Healthcare Services Group Inc.,US,NASDAQ,USD,Common Stock,
HELE,Helen of Troy Limited,Bermuda,NASDAQ,USD,Common Stock,BMG4388N1065
HFWA,Heritage Financial Corporation,US,NASDAQ,USD,Common Stock,
HI,Hillenbrand Inc.,US,NYSE,USD,Common Stock,
HIW,Highwoods Properties Inc.,US,NYSE,USD,Common Stock,
HLIT,Harmonic Inc.,US,NASDAQ,USD,Common Stock,
HLX,Helix Energy Solutions Group Inc.,US,NYSE,USD,Common Stock,
HMN,Horace Mann Educators Corporation,US,NYSE,USD,Common Stock,
HNI,HNI Corporation,US,NYSE,USD,Common Stock,
HOPE,Hope Bancorp Inc.,US,NASDAQ,USD,Common Stock,
HP,Helmerich & Payne Inc.,US,NYSE,USD,Common Stock,
HRMY,Harmony Biosciences Holdings Inc.,US,NASDAQ,USD,Common Stock,
HSII,Heidrick & Struggles International Inc.,US,NASDAQ,USD,Common Stock,
HSTM,HealthStream Inc.,US,NASDAQ,USD,Common Stock,
HTH,Hilltop Holdings Inc.,US,NYSE,USD,Common Stock,
HTLD,Heartland Express Inc.,US,NASDAQ,USD,Common Stock,
HTO,H2O America,US,NASDAQ,USD,Common Stock,
HTZ,Hertz Global Holdings Inc.,US,NASDAQ,USD,Common Stock,
HUBG,Hub Group Inc.,US,NASDAQ,USD,Common Stock,
HWKN,Hawkins Inc.,US,NASDAQ,USD,Common Stock,
HZO,MarineMax Inc.,US,NYSE,USD,Common Stock,
IAC,IAC Inc.,US,NASDAQ,USD,Common Stock,
IART,Integra LifeSciences Holdings Corp.,US,NASDAQ,USD,Common Stock,
IBP,Installed Building Products Inc.,US,NYSE,USD,Common Stock,
ICHR,Ichor Holdings Ltd.,US,NASDAQ,USD,Common Stock,
ICUI,ICU Medical Inc.,US,NASDAQ,USD,Common Stock,
IDCC,InterDigital Inc.,US,NASDAQ,USD,Common Stock,
IIIN,Insteel Industries Inc.,US,NYSE,USD,Common Stock,
IIPR,Innovative Industrial Properties Inc.,US,NYSE,USD,Common Stock,
INDB,Independent Bank Corp.,US,NASDAQ,USD,Common Stock,
INN,Summit Hotel Properties Inc.,US,NYSE,USD,Common Stock,
INSP,Inspire Medical Systems Inc.,US,NASDAQ,USD,Common Stock,
INSW,International Seaways Inc.,US,NASDAQ,USD,Common Stock,
INVA,Innoviva Inc.,US,NASDAQ,USD,Common Stock,
INVX,Innovex International Inc.,US,NYSE,USD,Common Stock,
IOSP,Innospec Inc.,US,NASDAQ,USD,Common Stock,
IPAR,Inter Parfums Inc.,US,NASDAQ,USD,Common Stock,
ITGR,Integer Holdings Corporation,US,NYSE,USD,Common Stock,
ITRI,Itron Inc.,US,NASDAQ,USD,Common Stock,
JACK,Jack in the Box Inc.,US,NASDAQ,USD,Common Stock,
JBGS,JBG SMITH Properties,US,NYSE,USD,Common Stock,
JBLU,JetBlue Airways Corp.,US,NASDAQ,USD,Common Stock,
JBSS,John B. Sanfilippo & Son Inc.,US,NASDAQ,USD,Common Stock,
JBTM,JBT Marel Corporation,US,NYSE,USD,Common Stock,
JJSF,J&J Snack Foods Corp.,US,NASDAQ,USD,Common Stock,
JOE,The St. Joe Company,US,NYSE,USD,Common Stock,
JXN,Jackson Financial Inc.,US,NYSE,USD,Common Stock,
KAI,Kadant Inc.,US,NYSE,USD,Common Stock,
KALU,Kaiser Aluminum Corporation,US,NASDAQ,USD,Common Stock,
KAR,OPENLANE Inc.,US,NASDAQ,USD,Common Stock,
KFY,Korn Ferry,US,NYSE,USD,Common Stock,
KGS,Kodiak Gas Services Inc.,US,NYSE,USD,Common Stock,
KLG,WK Kellogg Co,US,NYSE,USD,Common Stock,
KLIC,Kulicke and Soffa Industries Inc.,US,NASDAQ,USD,Common Stock,
KMT,Kennametal Inc.,US,NYSE,USD,Common Stock,
KN,Knowles Corporation,US,NYSE,USD,Common Stock,
KOP,Koppers Holdings Inc.,US,NYSE,USD,Common Stock,
KREF,KKR Real Estate Finance Trust Inc.,US,NYSE,USD,Common Stock,
KRYS,Krystal Biotech Inc.,US,NASDAQ,USD,Common Stock,
KSS,Kohl’s Corporation,US,NYSE,USD,Common Stock,
KTB,Kontoor Brands Inc.,US,NYSE,USD,Common Stock,
KTOS,Kratos Defense & Security Solutions Inc.,US,NASDAQ,USD,Common Stock,
KW,Kennedy-Wilson Holdings Inc.,US,NYSE,USD,Common Stock,
KWR,Quaker Chemical Corporation,US,NYSE,USD,Common Stock,
LBRT,Liberty Energy Inc.,US,NYSE,USD,Common Stock,
LCII,LCI Industries,US,NYSE,USD,Common Stock,
LEG,Leggett & Platt,Incorporated,US,NYSE,USD,Common Stock,
LGIH,LGI Homes Inc.,US,NASDAQ,USD,Common Stock,
LGND,Ligand Pharmaceuticals Inc.,US,NASDAQ,USD,Common Stock,
LKFN,Lakeland Financial Corporation,US,NASDAQ,USD,Common Stock,
LMAT,LeMaitre Vascular Inc.,US,NASDAQ,USD,Common Stock,
LNC,Lincoln National Corporation,US,NYSE,USD,Common Stock,
LNN,Lindsay Corporation,US,NASDAQ,USD,Common Stock,
LPG,Dorian LPG Ltd.,US,NYSE,USD,Common Stock,
LQDT,Liquidity Services Inc.,US,NASDAQ,USD,Common Stock,
LRN,Stride Inc.,US,NYSE,USD,Common Stock,
LTC,LTC Properties Inc.,US,NYSE,USD,Common Stock,
LUMN,Lumen Technologies Inc.,US,NYSE,USD,Common Stock,
LXP,LXP Industrial Trust,US,NYSE,USD,Common Stock,
LZB,La-Z-Boy Incorporated,US,NYSE,USD,Common Stock,
MAC,Macerich Co.,US,NYSE,USD,Common Stock,
MARA,Marathon Digital Holdings Inc.,US,NASDAQ,USD,Common Stock,
MATW,Matthews International Corp.,US,NASDAQ,USD,Common Stock,
MATX,Matson Inc.,US,NASDAQ,USD,Common Stock,
MBC,MasterBrand Inc.,US,NASDAQ,USD,Common Stock,
MC,Moelis & Company,US,NYSE,USD,Common Stock,
MCRI,Monarch Casino & Resort Inc.,US,NASDAQ,USD,Common Stock,
MCW,Mister Car Wash Inc.,US,NYSE,USD,Common Stock,
MCY,Mercury General Corporation,US,NYSE,USD,Common Stock,
MD,Pediatrix Medical Group Inc.,US,NYSE,USD,Common Stock,
MDU,MDU Resources Group Inc.,US,NYSE,USD,Common Stock,
MGEE,MGE Energy Inc.,US,NASDAQ,USD,Common Stock,
MGPI,MGP Ingredients Inc.,US,NASDAQ,USD,Common Stock,
MGY,Magnolia Oil & Gas Corporation,US,NYSE,USD,Common Stock,
MHO,M/I Homes Inc.,US,NASDAQ,USD,Common Stock,
MLAB,Mesa Laboratories Inc.,US,NASDAQ,USD,Common Stock,
MLKN,MillerKnoll Inc.,US,NASDAQ,USD,Common Stock,
MMI,Marcus & Millichap Inc.,US,NYSE,USD,Common Stock,
MMSI,Merit Medical Systems Inc.,US,NASDAQ,USD,Common Stock,
MNRO,Monro Inc.,US,NASDAQ,USD,Common Stock,
MODG,Topgolf Callaway Brands Corp.,US,NYSE,USD,Common Stock,
MOG.A,Moog Inc. Class A,US,NYSE,USD,Common Stock,
MP,MP Materials Corp.,US,NYSE,USD,Common Stock,
MPW,Medical Properties Trust Inc.,US,NYSE,USD,Common Stock,
MRCY,Mercury Systems Inc.,US,NASDAQ,USD,Common Stock,
MRP,Millrose Properties Inc.,US,NYSE,USD,Common Stock,
MRTN,Marten Transport Ltd.,US,NASDAQ,USD,Common Stock,
MSEX,Middlesex Water Company,US,NASDAQ,USD,Common Stock,
MSGS,Madison Square Garden Sports Corp.,US,NYSE,USD,Common Stock,
MTH,Meritage Homes Corporation,US,NYSE,USD,Common Stock,
MTRN,Materion Corporation,US,NASDAQ,USD,Common Stock,
MTUS,NCR Atleos (NATL),US,NYSE,USD,Common Stock,
MTX,Minerals Technologies Inc.,US,NYSE,USD,Common Stock,
MWA,Mueller Water Products Inc.,US,NYSE,USD,Common Stock,
MXL,MaxLinear Inc.,US,NYSE,USD,Common Stock,
MYGN,Myriad Genetics Inc.,US,NASDAQ,USD,Common Stock,
MYRG,MYR Group Inc.,US,NASDAQ,USD,Common Stock,
NABL,N-able Inc.,US,NYSE,USD,Common Stock,
NATL,NCR Voyix (NCR Atleos),US,NYSE,USD,Common Stock,
NAVI,Navient Corporation,US,NASDAQ,USD,Common Stock,
NBHC,National Bank Holdings Corporation,US,NASDAQ,USD,Common Stock,
NBTB,NBT Bancorp Inc.,US,NASDAQ,USD,Common Stock,
NEO,NeoGenomics Inc.,US,NASDAQ,USD,Common Stock,
NEOG,Neogen Corporation,US,NASDAQ,USD,Common Stock,
NGVT,Ingevity Corporation,US,NYSE,USD,Common Stock,
NHC,National Healthcare Corp.,US,NYSE,USD,Common Stock,
NMIH,NMI Holdings Inc.,US,NASDAQ,USD,Common Stock,
NOG,Northern Oil and Gas Inc.,US,NYSE,USD,Common Stock,
NPK,National Presto Industries Inc.,US,NYSE,USD,Common Stock,
NPO,EnPro Industries Inc.,US,NYSE,USD,Common Stock,
NSIT,Insight Enterprises Inc.,US,NASDAQ,USD,Common Stock,
NTCT,NetScout Systems Inc.,US,NASDAQ,USD,Common Stock,
NVRI,Enviri Corporation,US,NYSE,USD,Common Stock,
NWBI,Northwest Bancshares Inc.,US,NASDAQ,USD,Common Stock,
NWL,Newell Brands Inc.,US,NASDAQ,USD,Common Stock,
NWN,NW Natural Holding Co.,US,NYSE,USD,Common Stock,
NX,Quanex Building Products Corporation,US,NYSE,USD,Common Stock,
NXRT,NexPoint Residential Trust Inc.,US,NYSE,USD,Common Stock,
NYMT,New York Mortgage Trust Inc.,US,NASDAQ,USD,Common Stock,
OFG,OFG Bancorp,US,NYSE,USD,Common Stock,
OGN,Organon & Co.,US,NYSE,USD,Common Stock,
OI,O-I Glass Inc.,US,NYSE,USD,Common Stock,
OII,Oceaneering International Inc.,US,NYSE,USD,Common Stock,
OMCL,Omnicell Inc.,US,NASDAQ,USD,Common Stock,
OMI,Owens & Minor Inc.,US,NYSE,USD,Common Stock,
OSIS,OSI Systems Inc.,US,NASDAQ,USD,Common Stock,
OTTR,Otter Tail Corporation,US,NASDAQ,USD,Common Stock,
OUT,Outfront Media Inc.,US,NYSE,USD,Common Stock,
OXM,Oxford Industries Inc.,US,NYSE,USD,Common Stock,
PAHC,Phibro Animal Health Corporation,US,NASDAQ,USD,Common Stock,
PARR,Par Pacific Holdings Inc.,US,NASDAQ,USD,Common Stock,
PAYO,Payoneer Global Inc.,US,NASDAQ,USD,Common Stock,
PATK,Patrick Industries Inc.,US,NASDAQ,USD,Common Stock,
PBH,Prestige Consumer Healthcare Inc.,US,NYSE,USD,Common Stock,
PBI,Pitney Bowes Inc.,US,NYSE,USD,Common Stock,
PCRX,Pacira BioSciences Inc.,US,NASDAQ,USD,Common Stock,
PDFS,PDF Solutions Inc.,US,NASDAQ,USD,Common Stock,
PEB,Pebblebrook Hotel Trust,US,NYSE,USD,Common Stock,
